date,county,fips,new_cases,new_deaths
2021-09-26,Ada,16001.0,320.0,0.0
2021-09-27,Ada,16001.0,247.0,0.0
2021-09-28,Ada,16001.0,363.0,5.0
2021-09-29,Ada,16001.0,586.0,13.0
2021-09-30,Ada,16001.0,651.0,8.0
2021-10-01,Ada,16001.0,674.0,21.0
2021-10-02,Ada,16001.0,363.0,4.0
2021-10-03,Ada,16001.0,257.0,0.0
2021-10-04,Ada,16001.0,253.0,0.0
2021-10-05,Ada,16001.0,405.0,6.0
2021-10-06,Ada,16001.0,414.0,5.0
2021-10-07,Ada,16001.0,387.0,9.0
2021-10-08,Ada,16001.0,562.0,15.0
2021-10-09,Ada,16001.0,247.0,2.0
2021-10-10,Ada,16001.0,127.0,0.0
2021-10-11,Ada,16001.0,0.0,0.0
2021-10-12,Ada,16001.0,669.0,9.0
